Model,Test Loss,Test Accuracy
Simple CNN,0.546640157699585,0.8209280371665955
Concatenated CNN,0.7386547327041626,0.7679850459098816
Separable CNN,0.617343008518219,0.7843350768089294
Isolated CNN,0.7724831104278564,0.7608221769332886
